oid	kind	category	name	args	return	comment	file
58278	f	lookup	get_all_party_invites		TABLE(invite_id bigint, party_id bigint, sender_player_id bigint, sender_name text, player_id bigint, player_name text, invite_sent_timespan bigint)		functions/lookup/get_all_party_invites__0args.sql
58279	f	lookup	get_all_party_members		TABLE(player_id bigint, fls_id text, party_id bigint)		functions/lookup/get_all_party_members__0args.sql
58280	f	lookup	get_all_player_character_home_dimensions		TABLE(fls_id text, home_dimension integer)		functions/lookup/get_all_player_character_home_dimensions__0args.sql
58281	f	lookup	get_all_player_in_guild_online_state	in_guild_id bigint	SETOF dune.playeronlinestateentry		functions/lookup/get_all_player_in_guild_online_state__1args.sql
58282	f	lookup	get_all_player_travel_states		TABLE(fls_id text, login_target_dimension_index integer)		functions/lookup/get_all_player_travel_states__0args.sql
58283	f	journey_progression	get_all_tutorial_entries	in_player_id bigint	TABLE(tutorial_id smallint, tutorial_state smallint)		functions/journey_progression/get_all_tutorial_entries__1args.sql
58284	f	lookup	get_all_unresolved_character_imports		TABLE(flsid text, importstate dune.transferimportstate, lastupdatetime timestamp with time zone)		functions/lookup/get_all_unresolved_character_imports__0args.sql
58285	f	schema_meta	get_applied_patches		SETOF text		functions/schema_meta/get_applied_patches__0args.sql
58286	f	battlegroup	get_battlegroup_close_date		timestamp without time zone		functions/battlegroup/get_battlegroup_close_date__0args.sql
58287	f	lookup	get_best_dungeon_completion	in_dungeon_id text	TABLE(out_difficulty integer, out_duration_ms integer, out_players_names text[])		functions/lookup/get_best_dungeon_completion__1args.sql
58288	f	lookup	get_best_dungeons_completions_for_player	in_player_id bigint	TABLE(out_dungeon_id text, out_difficulty integer, out_duration_ms integer, out_players_num smallint)		functions/lookup/get_best_dungeons_completions_for_player__1args.sql
58289	f	building_blueprint	get_building_blueprint_copy_data	in_building_blueprint_id bigint	dune.buildingblueprintgetcopydata		functions/building_blueprint/get_building_blueprint_copy_data__1args.sql
58290	f	building_blueprint	get_building_favorites	in_account_id bigint	TABLE(building_types text[])		functions/building_blueprint/get_building_favorites__1args.sql
58291	f	building_blueprint	get_building_id	in_actor_id bigint, in_class text	dune.buildinggetidcomposite		functions/building_blueprint/get_building_id__2args.sql
58292	f	lookup	get_character_import_state	in_fls_id text	dune.transferimportstate		functions/lookup/get_character_import_state__1args.sql
58293	f	transfer	get_character_transfer_related_items	in_fls_id text	jsonb		functions/transfer/get_character_transfer_related_items__1args.sql
58294	f	misc	get_consumed_lore_pickups	in_actor_id bigint, in_use_temporary boolean	SETOF bit		functions/misc/get_consumed_lore_pickups__2args.sql
58295	f	misc	get_controller_id_from_platform_id	in_platform_id text	bigint		functions/misc/get_controller_id_from_platform_id__1args.sql
58296	f	exchange	get_dune_exchange_accesspoint_id	in_exchange_id bigint, in_name text	bigint		functions/exchange/get_dune_exchange_accesspoint_id__2args.sql
58297	f	exchange	get_dune_exchange_data	in_exchange_id bigint, in_controller_id bigint	dune.loadexchangedataresult		functions/exchange/get_dune_exchange_data__2args.sql
58298	f	exchange	get_dune_exchange_id	in_name text	bigint		functions/exchange/get_dune_exchange_id__1args.sql
58299	f	exchange	get_dune_exchange_used_order_slots	in_controller_id bigint	integer		functions/exchange/get_dune_exchange_used_order_slots__1args.sql
58300	f	exchange	get_exchange_inventory_id	in_exchange_id bigint	bigint		functions/exchange/get_exchange_inventory_id__1args.sql
58301	f	exchange	get_exchange_orders_by_mask	in_mask integer, in_depth smallint	SETOF bigint		functions/exchange/get_exchange_orders_by_mask__2args.sql
